Timestep;Day;DayOfYear;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
74;4;230;120.18482763481067;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;2037.0353594077012;2792.8796582602117;2792.8796582602117;10670.464698727934;10670.46469872711;10670.46469872711;252.3114468895017;1116.838430358062;1116.838430358062;296.2461564;0.0;8300.0;0.0;0.0;18662.0;-10756.057298291753;-10338.24;-417.81729829175384;0.0;17169.93;-2500.0000000000173;2589.7472503802774
75;4;230;118.57636244253396;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;1986.7708223125965;2792.8796582602117;2792.8796582602117;10670.464698727932;10670.46469872711;10670.46469872711;232.20563200504665;1116.838430358062;1116.838430358062;273.90000000000003;0.0;8300.0;0.0;0.0;18662.0;-10663.340789905691;-10248.96;-414.3807899056922;0.0;17169.93;-2500.000000000035;2589.7472503802774
76;4;230;119.25462963506672;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;2007.966671994869;2792.8796582602117;2792.8796582602117;10670.464698727934;10670.46469872711;10670.46469872711;240.68397190189475;1116.838430358062;1116.838430358062;292.0961564;0.0;8300.0;0.0;0.0;18662.0;-10711.211135888156;-10295.039999999999;-416.17113588815687;0.0;17169.93;-2500.000000000029;2589.7472503802774
77;4;230;123.41287440497209;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;2137.911820681605;2792.8796582602117;2792.8796582602117;10670.464698727938;10670.46469872711;10670.46469872711;292.66203148235996;1116.838430358062;1116.838430358062;321.46538269999996;0.0;8300.0;0.0;0.0;18662.0;-10922.503570470137;-10498.56;-423.9435704701374;0.0;17169.93;-2500.000000000035;2589.7472503802774
78;4;230;133.175159555206;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;2442.983230842171;2792.8796582602117;2792.8796582602117;10670.464698727941;10670.46469872711;10670.46469872711;414.6905957691248;1116.838430358062;1116.838430358062;338.70384359999997;0.0;8300.0;0.0;0.0;18662.0;-11366.842005848575;-10926.72;-440.12200584857646;0.0;17169.93;-2500.000000000031;2589.7472503802774
79;4;230;144.2404536340677;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;2788.773669011057;2792.8796582602117;2792.8796582602117;10670.464698727943;10670.46469872711;10670.46469872711;553.0067716843382;1116.838430358062;1116.838430358062;309.3346173;0.0;8300.0;9.331;0.0;18662.0;-11830.910393660577;-11374.08;-456.8303936605773;0.0;17169.93;-2500.0000000000814;2589.7472503802774
80;4;230;139.6642125279531;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;2645.766135233329;2792.8796582602117;2792.8796582602117;10670.464698727943;10670.46469872711;10670.46469872711;495.80375781129635;1116.838430358062;1116.838430358062;296.8846173;0.0;8300.0;329.3843;0.0;18662.0;-11938.303146021795;-11476.8;-461.50314602179566;0.0;17169.93;-2500.000000000058;2589.7472503802774
81;4;230;110.90238389989892;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;1746.9371841967113;2792.8796582602117;2792.8796582602117;10670.464698727643;10670.46469872711;10670.46469872711;136.27837244953074;1116.838430358062;1116.838430358062;308.3769218;0.0;8300.0;1471.4987;0.0;18662.0;-11606.114248698426;-11154.24;-451.87424869842596;0.0;17169.93;-2727.442090189204;2589.7472503802774
82;4;230;94.02813751749558;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;1219.6222370022422;2792.8796582602117;2792.8796582602117;9253.323776311794;10670.46469872711;10670.46469872711;0.0;1116.838430358062;1116.838430358062;313.16538269999995;0.0;8300.0;3265.38345;0.0;18662.0;-11055.5948442305;-10623.359999999999;-432.23484423050144;0.0;17169.93;-2995.900309248595;2589.7472503802774
83;4;230;83.09194555260088;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;877.8733046988459;2792.8796582602117;2792.8796582602117;7886.493167742918;10670.46469872711;10670.46469872711;0.0;1116.838430358062;1116.838430358062;329.1269218;0.0;8300.0;5138.5817;0.0;18662.0;-10732.075094128775;-10311.359999999999;-420.7150941287767;0.0;17169.93;-3499.9999999998577;2589.7472503802774
84;4;230;72.45016780308295;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;545.3177451106159;2792.8796582602117;2792.8796582602117;6556.270969998671;10670.46469872711;10670.46469872711;0.0;1116.838430358062;1116.838430358062;340.9384609;0.0;8300.0;6486.9112000000005;0.0;18662.0;-10429.438375986218;-10019.52;-409.9183759862164;0.0;17169.93;-3499.999999999964;2589.7472503802774
85;4;230;67.54324143015744;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;391.9762957447256;2792.8796582602117;2792.8796582602117;5942.905174286171;10670.46469872711;10670.46469872711;0.0;1116.838430358062;1116.838430358062;318.59230449999995;0.0;8300.0;7189.5355;0.0;18662.0;-10343.009274511684;-9936.0;-407.0092745116837;0.0;17169.93;-3499.999999999969;2589.7472503802774
86;4;230;61.9659191291007;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;217.684973569186;2792.8796582602117;2792.8796582602117;5245.739887793873;10670.46469872711;10670.46469872711;0.0;1116.838430358062;1116.838430358062;297.5230782;0.0;8300.0;7883.7618999999995;0.0;18662.0;-10144.70983954874;-9744.96;-399.74983954874006;0.0;17169.93;-3499.999999999986;2589.7472503802774
87;4;230;61.197352975915535;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;193.6672811710208;2792.8796582602117;2792.8796582602117;5149.669119119446;10670.46469872711;10670.46469872711;0.0;1116.838430358062;1116.838430358062;305.8230782;0.0;8300.0;8440.35605;0.0;18662.0;-10589.515528478169;-10172.16;-417.35552847816905;0.0;17169.93;-3499.9999999999714;2589.7472503802774
88;4;230;60.29704265525253;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;165.5325835686748;2792.8796582602117;2792.8796582602117;5037.130329384185;10670.46469872711;10670.46469872711;0.0;1116.838430358062;1116.838430358062;383.0769218;0.0;8300.0;8685.761349999999;0.0;18662.0;-10771.501184742056;-10346.88;-424.62118474205715;0.0;17169.93;-3499.9999999999804;2589.7472503802774
89;4;230;68.93731827560214;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;435.5411971467103;2792.8796582602117;2792.8796582602117;6117.164780043636;10670.46469872711;10670.46469872711;0.0;1116.838430358062;1116.838430358062;499.9153827;0.0;8300.0;7718.6032000000005;0.0;18662.0;-11271.22455987143;-10827.84;-443.38455987143055;0.0;17169.93;-3499.9999999999754;2589.7472503802774
90;4;230;80.71941020134632;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;803.7315702710499;2792.8796582602117;2792.8796582602117;7589.926268865884;10670.46469872711;10670.46469872711;0.0;1116.838430358062;1116.838430358062;564.4000000000001;0.0;8300.0;6453.3196;0.0;18662.0;-11911.377439109885;-11444.16;-467.21743910988573;0.0;17169.93;-3499.9999999999627;2589.7472503802774
91;4;230;95.49660590460223;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;1265.5189367358748;2792.8796582602117;2792.8796582602117;9437.075728626985;10670.46469872711;10670.46469872711;0.0;1116.838430358062;1116.838430358062;475.3346173;0.0;8300.0;4909.0391;0.0;18662.0;-12586.968382622306;-12095.039999999999;-491.92838262230714;0.0;17169.93;-3499.999999999938;2589.7472503802774
92;4;230;120.75197316818857;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;2054.7367701581065;2792.8796582602117;2792.8796582602117;10670.464698727936;10670.46469872711;10670.46469872711;259.39823075930315;1116.838430358062;1116.838430358062;432.5576955;0.0;8300.0;2866.01665;0.0;18662.0;-13095.168205057538;-12586.56;-508.60820505753907;0.0;17169.93;-3188.0063040761324;2589.7472503802774
93;4;230;161.62000174381942;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;2792.8796582604364;2792.8796582602117;2792.8796582602117;10670.464698727945;10670.46469872711;10670.46469872711;770.2534965441696;1116.838430358062;1116.838430358062;421.06538270000004;0.0;8300.0;1067.93295;0.0;18662.0;-13222.595056237677;-12714.24;-508.355056237677;0.0;17169.93;-2500.000001625839;2589.7472503802774
94;4;230;207.68355570102014;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;2792.879658260437;2792.8796582602117;2792.8796582602117;10670.464698727947;10670.46469872711;10670.46469872711;1116.8384303580417;1116.838430358062;1116.838430358062;422.3423045;0.0;8300.0;64.3839;0.0;18662.0;-12796.368737652463;-12310.08;-486.2887376524637;0.0;17169.93;-2270.540254192885;2589.7472503802774
