Timestep;Day;DayOfYear;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
55;3;138;119.13425396052612;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;2004.2021385760531;2145.203441041757;2145.203441041757;9570.828799173245;9570.828799172587;9570.828799172587;318.90573069310256;2899.0751003770793;2899.0751003770793;416.21297894052265;0.0;5315.0;764.9397830804977;0.0;8788.0;-9749.371306770574;-9370.56;-378.81130677057484;0.0;15468.46;-3325.717924765026;853.3526925324056
56;3;138;109.08646801642622;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1690.208891265151;2145.203441041757;2145.203441041757;9570.828799173236;9570.828799172587;9570.828799172587;151.44264364842172;2899.0751003770793;2899.0751003770793;223.76772437922148;0.0;5315.0;1878.4085738760602;0.0;8788.0;-10389.653917852831;-9984.96;-404.6939178528322;0.0;15468.46;-3125.0025141624274;853.3526925324056
57;3;138;94.34652855920629;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1229.543509713146;2145.203441041757;2145.203441041757;9292.278577911344;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;108.59775044380058;0.0;5315.0;3244.4483362115443;0.0;8788.0;-10664.928499149577;-10248.0;-416.92849914957736;0.0;15468.46;-3209.940926810709;853.3526925324056
58;3;138;82.73318350680196;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;866.6619748663963;2145.203441041757;2145.203441041757;7841.647979552178;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;82.9726730306557;0.0;5315.0;4438.832655827077;0.0;8788.0;-10730.115283422112;-10309.44;-420.6752834221114;0.0;15468.46;-2500.000000000109;853.3526925324056
59;3;138;77.45096643602756;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;701.5927154300851;2145.203441041757;2145.203441041757;7181.3707438770925;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;38.62884804071054;0.0;5315.0;5369.043763003265;0.0;8788.0;-10790.636070136166;-10367.039999999999;-423.59607013616653;0.0;15468.46;-2500.000000000011;853.3526925324056
60;3;138;72.52277143350224;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;547.5866197756961;2145.203441041757;2145.203441041757;6565.346376299353;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;36.725321103004106;0.0;5315.0;6042.581746467463;0.0;8788.0;-10692.240063457984;-10272.0;-420.2400634579845;0.0;15468.46;-2500.000000000003;853.3526925324056
61;3;138;72.19740482694175;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;537.418913200717;2145.203441041757;2145.203441041757;6524.675550987862;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;42.097399435284345;0.0;5315.0;6039.118390975097;0.0;8788.0;-10643.31025441323;-10224.96;-418.3502544132317;0.0;15468.46;-2500.0000000000045;853.3526925324056
62;3;138;72.02249049808985;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;531.9528403088257;2145.203441041757;2145.203441041757;6502.81126037053;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;56.28373067773039;0.0;5315.0;5967.342272482204;0.0;8788.0;-10558.390103655296;-10143.359999999999;-415.0301036552976;0.0;15468.46;-2500.000000000001;853.3526925324056
63;3;138;73.53793677277426;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;579.310536972335;2145.203441041757;2145.203441041757;6692.242042250763;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;66.43001283067902;0.0;5315.0;5485.42020389229;0.0;8788.0;-10323.402795753367;-9917.76;-405.6427957533667;0.0;15468.46;-2500.0000000000214;853.3526925324056
64;3;138;78.9919864711228;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;749.7495919791266;2145.203441041757;2145.203441041757;7373.998246350321;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;68.02581024034993;0.0;5315.0;4635.062529851747;0.0;8788.0;-10326.836178199786;-9921.6;-405.2361781997863;0.0;15468.46;-2500.0000000000064;853.3526925324056
